,BIDS Data,BIDS Validated
380,/sub-173940/anat/sub-173940_T1w.nii.gz,True
381,/sub-174437/anat/sub-174437_T1w.nii.gz,True
382,/sub-174841/anat/sub-174841_T1w.nii.gz,True
383,/sub-175035/anat/sub-175035_T1w.nii.gz,True
384,/sub-175136/anat/sub-175136_T1w.nii.gz,True
385,/sub-175237/anat/sub-175237_T1w.nii.gz,True
386,/sub-175338/anat/sub-175338_T1w.nii.gz,True
387,/sub-175439/anat/sub-175439_T1w.nii.gz,True
388,/sub-175540/anat/sub-175540_T1w.nii.gz,True
389,/sub-175742/anat/sub-175742_T1w.nii.gz,True
390,/sub-176037/anat/sub-176037_T1w.nii.gz,True
391,/sub-176239/anat/sub-176239_T1w.nii.gz,True
392,/sub-176441/anat/sub-176441_T1w.nii.gz,True
393,/sub-176542/anat/sub-176542_T1w.nii.gz,True
394,/sub-176744/anat/sub-176744_T1w.nii.gz,True
395,/sub-176845/anat/sub-176845_T1w.nii.gz,True
396,/sub-177140/anat/sub-177140_T1w.nii.gz,True
397,/sub-177241/anat/sub-177241_T1w.nii.gz,True
398,/sub-177342/anat/sub-177342_T1w.nii.gz,True
399,/sub-177645/anat/sub-177645_T1w.nii.gz,True
400,/sub-177746/anat/sub-177746_T1w.nii.gz,True
401,/sub-178142/anat/sub-178142_T1w.nii.gz,True
402,/sub-178243/anat/sub-178243_T1w.nii.gz,True
403,/sub-178647/anat/sub-178647_T1w.nii.gz,True
404,/sub-178748/anat/sub-178748_T1w.nii.gz,True
405,/sub-178849/anat/sub-178849_T1w.nii.gz,True
406,/sub-178950/anat/sub-178950_T1w.nii.gz,True
407,/sub-179245/anat/sub-179245_T1w.nii.gz,True
408,/sub-179346/anat/sub-179346_T1w.nii.gz,True
409,/sub-179548/anat/sub-179548_T1w.nii.gz,True
410,/sub-179952/anat/sub-179952_T1w.nii.gz,True
411,/sub-180129/anat/sub-180129_T1w.nii.gz,True
412,/sub-180230/anat/sub-180230_T1w.nii.gz,True
413,/sub-180432/anat/sub-180432_T1w.nii.gz,True
414,/sub-180533/anat/sub-180533_T1w.nii.gz,True
415,/sub-180735/anat/sub-180735_T1w.nii.gz,True
416,/sub-180836/anat/sub-180836_T1w.nii.gz,True
417,/sub-180937/anat/sub-180937_T1w.nii.gz,True
418,/sub-181131/anat/sub-181131_T1w.nii.gz,True
419,/sub-181232/anat/sub-181232_T1w.nii.gz,True
420,/sub-181636/anat/sub-181636_T1w.nii.gz,True
421,/sub-182032/anat/sub-182032_T1w.nii.gz,True
422,/sub-182436/anat/sub-182436_T1w.nii.gz,True
423,/sub-182739/anat/sub-182739_T1w.nii.gz,True
424,/sub-182840/anat/sub-182840_T1w.nii.gz,True
425,/sub-183034/anat/sub-183034_T1w.nii.gz,True
426,/sub-183337/anat/sub-183337_T1w.nii.gz,True
427,/sub-183741/anat/sub-183741_T1w.nii.gz,True
428,/sub-185038/anat/sub-185038_T1w.nii.gz,True
429,/sub-185139/anat/sub-185139_T1w.nii.gz,True
430,/sub-185341/anat/sub-185341_T1w.nii.gz,True
431,/sub-185442/anat/sub-185442_T1w.nii.gz,True
432,/sub-185846/anat/sub-185846_T1w.nii.gz,True
433,/sub-185947/anat/sub-185947_T1w.nii.gz,True
434,/sub-186040/anat/sub-186040_T1w.nii.gz,True
435,/sub-186141/anat/sub-186141_T1w.nii.gz,True
436,/sub-186444/anat/sub-186444_T1w.nii.gz,True
437,/sub-186545/anat/sub-186545_T1w.nii.gz,True
438,/sub-186848/anat/sub-186848_T1w.nii.gz,True
439,/sub-186949/anat/sub-186949_T1w.nii.gz,True
440,/sub-187143/anat/sub-187143_T1w.nii.gz,True
441,/sub-187345/anat/sub-187345_T1w.nii.gz,True
442,/sub-187547/anat/sub-187547_T1w.nii.gz,True
443,/sub-187850/anat/sub-187850_T1w.nii.gz,True
444,/sub-188145/anat/sub-188145_T1w.nii.gz,True
445,/sub-188347/anat/sub-188347_T1w.nii.gz,True
446,/sub-188448/anat/sub-188448_T1w.nii.gz,True
447,/sub-188549/anat/sub-188549_T1w.nii.gz,True
448,/sub-188751/anat/sub-188751_T1w.nii.gz,True
449,/sub-189349/anat/sub-189349_T1w.nii.gz,True
450,/sub-189450/anat/sub-189450_T1w.nii.gz,True
451,/sub-189652/anat/sub-189652_T1w.nii.gz,True
452,/sub-190031/anat/sub-190031_T1w.nii.gz,True
453,/sub-190132/anat/sub-190132_T1w.nii.gz,True
454,/sub-191033/anat/sub-191033_T1w.nii.gz,True
455,/sub-191235/anat/sub-191235_T1w.nii.gz,True
456,/sub-191336/anat/sub-191336_T1w.nii.gz,True
457,/sub-191437/anat/sub-191437_T1w.nii.gz,True
458,/sub-191841/anat/sub-191841_T1w.nii.gz,True
459,/sub-191942/anat/sub-191942_T1w.nii.gz,True
460,/sub-192035/anat/sub-192035_T1w.nii.gz,True
461,/sub-192136/anat/sub-192136_T1w.nii.gz,True
462,/sub-192237/anat/sub-192237_T1w.nii.gz,True
